Outcome,Home_Team,Away_Team,Season,Round,Capacity,Pitch,Country,Elo_home,Elo_away,HT_Cum_Cards,HT_Cum_Scores,HT_Cum_Wins,HT_Cum_Draws,HT_Cum_Losses,HT_Cum_Streak,HT_Longest_Win_Streak,HT_Longest_Loss_Streak,AT_Cum_Cards,Cum_Scores,AT_Cum_Wins,AT_Cum_Draws,AT_Cum_Losses,AT_Cum_Streak,AT_Longest_Win_Streak,AT_Longest_Loss_Streak
1,De Graafschap,Excelsior,2013,1,12600,1,2,58.0,55.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
-1,Almere City,Go Ahead Eagles,2013,1,2500,2,2,40.0,57.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0,Emmen,Dordrecht,2013,1,8600,1,2,46.0,54.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
-1,SC Telstar,Helmond Sport,2013,1,3625,1,2,46.0,57.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
-1,FC Eindhoven,MVV Maastricht,2013,1,5400,1,2,51.0,55.0,0,0,0,0,0,0,0,0,,,,,,,,
1,TOP Oss,Den Bosch,2013,1,4700,1,2,48.0,58.0,0,0,0,0,0,0,0,0,,,,,,,,
-1,FC Volendam,Cambuur,2013,1,6984,1,2,57.0,56.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,Dordrecht,MVV Maastricht,2014,1,4088,2,2,54.0,55.0,0,0,0,0,0,0,0,0,,,,,,,,
0,FC Eindhoven,VVV Venlo,2014,1,5400,1,2,48.0,55.0,0,0,0,0,0,0,0,0,,,,,,,,
0,Excelsior,Helmond Sport,2014,1,3541,2,2,52.0,57.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,Fortuna Sittard,De Graafschap,2014,1,12500,1,2,47.0,58.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0,Sparta Rotterdam,Jong PSV,2014,1,11026,1,2,59.0,52.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
-1,Almere City,FC Volendam,2014,1,2500,2,2,39.0,58.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0,Emmen,Achilles 29,2014,1,8600,1,2,46.0,52.0,0,0,0,0,0,0,0,0,,,,,,,,
0,Willem II,Den Bosch,2014,1,14637,1,2,53.0,57.0,0,0,0,0,0,0,0,0,,,,,,,,
1,Jong Ajax,SC Telstar,2014,1,5000,1,2,52.0,46.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,Jong Twente,TOP Oss,2014,1,"30,205",1,2,52.0,47.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,Go Ahead Eagles,MVV Maastricht,2020,1,10000,1,2,53.0,53.0,0,0,0,0,0,0,0,0,,,,,,,,
1,De Graafschap,Cambuur,2020,1,12600,1,2,52.0,59.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
-1,NEC Nijmegen,FC Eindhoven,2020,1,12500,1,2,63.0,48.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0,Roda JC,Almere City,2020,1,19979,1,2,56.0,51.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,TOP Oss,Jong Ajax,2020,1,4700,1,2,48.0,56.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0,Helmond Sport,FC Volendam,2020,1,4142,1,2,47.0,52.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
-1,Dordrecht,NAC Breda,2020,1,4088,2,2,51.0,53.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,Excelsior,Jong Utrecht,2020,1,3541,2,2,58.0,43.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0,Jong AZ,SC Telstar,2020,1,1000,0,2,48.0,45.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0,Jong PSV,Den Bosch,2020,1,2500,1,2,55.0,53.0,0,0,0,0,0,0,0,0,,,,,,,,
-1,Jong Utrecht,FC Eindhoven,2021,1,450,0,2,44.0,47.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,Cambuur,NEC Nijmegen,2021,1,10000,1,2,59.0,61.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
-1,Jong PSV,Excelsior,2021,1,2500,1,2,52.0,60.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
-1,TOP Oss,Helmond Sport,2021,1,4700,1,2,45.0,45.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,NAC Breda,Jong AZ,2021,1,19000,1,2,53.0,43.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0,SC Telstar,FC Volendam,2021,1,3625,1,2,50.0,56.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
-1,Jong Ajax,Roda JC,2021,1,5000,1,2,58.0,53.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0,Dordrecht,Go Ahead Eagles,2021,1,4088,2,2,50.0,54.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0,Almere City,MVV Maastricht,2021,1,2500,2,2,54.0,51.0,0,0,0,0,0,0,0,0,,,,,,,,
1,De Graafschap,Den Bosch,2021,1,12600,1,2,55.0,52.0,0,0,0,0,0,0,0,0,,,,,,,,
