League,Model,Train_Accuracy,Test_Accuracy
All,DTree_Scaler,0.4453234564349671,0.4464260031641018
All,AdaBoost_DTree,0.5040454529109282,0.4953257586653243
All,MLP,0.5019957567693912,0.4938875305623472
segunda_division,MLP,0.49951454565068865,0.49316841651085863
eredivisie,MLP,0.5004494947678809,0.49345606213145404
ligue_2,MLP,0.4998381818835629,0.49575722709621745
primera_division,MLP,0.4998381818835629,0.4940313533726449
ligue_1,MLP,0.49951454565068865,0.4961886955271106
primeira_liga,MLP,0.5032183825380273,0.4901481374946066
eerste_divisie,MLP,0.499011111510662,0.496476341147706
bundesliga,MLP,0.5011686863964904,0.49546958147562203
premier_league,MLP,0.5018878780250998,0.4960448727168129
serie_a,MLP,0.5000179797907153,0.4963325183374083
2_liga,MLP,0.5008090905821856,0.49446282180353807
segunda_liga,MLP,0.5004854543493114,0.49431899899324033
serie_b,MLP,0.5025351504908483,0.4858334531856752
championship,MLP,0.4999820202092848,0.4992089745433626
All,LogReg,0.4855622280556654,0.4845390478929958
All,LogReg_Scale,0.494444244668992,0.4904357831152021
All,LogReg_Ext,0.494444244668992,0.4915863655975838
All,RandForest,0.999928080837139,0.4751905652236444
All,RandForest_Scaler,0.9998921212557086,0.4704444124838199
All,SVM_Scaler,0.4950195979718796,0.4931684165108586
All,SVM_Ext,0.4945521234132835,0.4920178340284769
All,DTree_Scaler,0.4453234564349671,0.4464260031641018
All,AdaBoost_LogReg,0.4954870725304757,0.4911548971666906
All,GradBoost,0.5606817936639218,0.4881346181504387
segunda_division,LogReg,0.4855622280556654,0.4845390478929958
segunda_division,LogReg_Scale,0.494444244668992,0.4904357831152021
segunda_division,LogReg_Ext,0.494444244668992,0.4915863655975838
segunda_division,RandForest,0.999928080837139,0.4754782108442399
segunda_division,RandForest_Scaler,0.999928080837139,0.4750467424133467
segunda_division,SVM_Scaler,0.4950195979718796,0.4931684165108586
segunda_division,SVM_Ext,0.4945521234132835,0.4920178340284769
segunda_division,DTree_Scaler,0.4453234564349671,0.4464260031641018
segunda_division,AdaBoost_DTree,0.5040454529109282,0.4953257586653243
segunda_division,AdaBoost_LogReg,0.4954870725304757,0.4911548971666906
segunda_division,GradBoost,0.5606817936639218,0.4879907953401409
eredivisie,LogReg,0.4855622280556654,0.4845390478929958
eredivisie,LogReg_Scale,0.494444244668992,0.4904357831152021
eredivisie,LogReg_Ext,0.494444244668992,0.4915863655975838
eredivisie,RandForest,0.999928080837139,0.4718826405867971
eredivisie,RandForest_Scaler,0.999928080837139,0.4701567668632245
eredivisie,SVM_Scaler,0.4950195979718796,0.4931684165108586
eredivisie,SVM_Ext,0.4945521234132835,0.4920178340284769
eredivisie,DTree_Scaler,0.4453234564349671,0.4464260031641018
eredivisie,AdaBoost_DTree,0.5040454529109282,0.4953257586653243
eredivisie,AdaBoost_LogReg,0.4954870725304757,0.4911548971666906
eredivisie,GradBoost,0.5606817936639218,0.4884222637710341
ligue_2,LogReg,0.4855622280556654,0.4845390478929958
ligue_2,LogReg_Scale,0.494444244668992,0.4904357831152021
ligue_2,LogReg_Ext,0.494444244668992,0.4915863655975838
ligue_2,RandForest,0.999928080837139,0.4690061843808428
ligue_2,RandForest_Scaler,0.999928080837139,0.4727455774485833
ligue_2,SVM_Scaler,0.4950195979718796,0.4931684165108586
ligue_2,SVM_Ext,0.4945521234132835,0.4920178340284769
ligue_2,DTree_Scaler,0.4453234564349671,0.4464260031641018
ligue_2,AdaBoost_DTree,0.5040454529109282,0.4953257586653243
ligue_2,AdaBoost_LogReg,0.4954870725304757,0.4911548971666906
ligue_2,GradBoost,0.5606817936639218,0.4881346181504387
primera_division,LogReg,0.4855622280556654,0.4845390478929958
primera_division,LogReg_Scale,0.494444244668992,0.4904357831152021
primera_division,LogReg_Ext,0.494444244668992,0.4915863655975838
primera_division,RandForest,0.999928080837139,0.4786423126707896
primera_division,RandForest_Scaler,0.999928080837139,0.4654106141233999
primera_division,SVM_Scaler,0.4950195979718796,0.4931684165108586
primera_division,SVM_Ext,0.4945521234132835,0.4920178340284769
primera_division,DTree_Scaler,0.4453234564349671,0.4464260031641018
primera_division,AdaBoost_DTree,0.5040454529109282,0.4953257586653243
primera_division,AdaBoost_LogReg,0.4954870725304757,0.4911548971666906
primera_division,GradBoost,0.5606817936639218,0.4881346181504387
ligue_1,LogReg,0.4855622280556654,0.4845390478929958
ligue_1,LogReg_Scale,0.494444244668992,0.4904357831152021
ligue_1,LogReg_Ext,0.494444244668992,0.4915863655975838
ligue_1,RandForest,0.999928080837139,0.4737523371206673
ligue_1,RandForest_Scaler,0.999928080837139,0.4783546670501941
ligue_1,SVM_Scaler,0.4950195979718796,0.4931684165108586
ligue_1,SVM_Ext,0.4945521234132835,0.4920178340284769
ligue_1,DTree_Scaler,0.4453234564349671,0.4464260031641018
ligue_1,AdaBoost_DTree,0.5040454529109282,0.4953257586653243
ligue_1,AdaBoost_LogReg,0.4954870725304757,0.4911548971666906
ligue_1,GradBoost,0.5606817936639218,0.4881346181504387
primeira_liga,LogReg,0.4855622280556654,0.4845390478929958
primeira_liga,LogReg_Scale,0.494444244668992,0.4904357831152021
primeira_liga,LogReg_Ext,0.494444244668992,0.4915863655975838
primeira_liga,RandForest,0.999928080837139,0.4724579318279879
primeira_liga,RandForest_Scaler,0.999928080837139,0.4695814756220337
primeira_liga,SVM_Scaler,0.4950195979718796,0.4931684165108586
primeira_liga,SVM_Ext,0.4945521234132835,0.4920178340284769
primeira_liga,DTree_Scaler,0.4453234564349671,0.4464260031641018
primeira_liga,AdaBoost_DTree,0.5040454529109282,0.4953257586653243
primeira_liga,AdaBoost_LogReg,0.4954870725304757,0.4911548971666906
primeira_liga,GradBoost,0.5606817936639218,0.4881346181504387
eerste_divisie,LogReg,0.4855622280556654,0.4845390478929958
eerste_divisie,LogReg_Scale,0.494444244668992,0.4904357831152021
eerste_divisie,LogReg_Ext,0.494444244668992,0.4915863655975838
eerste_divisie,RandForest,0.999928080837139,0.4760535020854307
eerste_divisie,RandForest_Scaler,0.999928080837139,0.4747590967927513
eerste_divisie,SVM_Scaler,0.4950195979718796,0.4931684165108586
eerste_divisie,SVM_Ext,0.4945521234132835,0.4920178340284769
eerste_divisie,DTree_Scaler,0.4453234564349671,0.4464260031641018
eerste_divisie,AdaBoost_DTree,0.5040454529109282,0.4953257586653243
eerste_divisie,AdaBoost_LogReg,0.4954870725304757,0.4911548971666906
eerste_divisie,GradBoost,0.5606817936639218,0.4881346181504387
bundesliga,LogReg,0.4855622280556654,0.4845390478929958
bundesliga,LogReg_Scale,0.494444244668992,0.4904357831152021
bundesliga,LogReg_Ext,0.494444244668992,0.4915863655975838
bundesliga,RandForest,0.999928080837139,0.4707320581044154
bundesliga,RandForest_Scaler,0.999928080837139,0.4681432475190565
bundesliga,SVM_Scaler,0.4950195979718796,0.4931684165108586
bundesliga,SVM_Ext,0.4945521234132835,0.4920178340284769
bundesliga,DTree_Scaler,0.4453234564349671,0.4464260031641018
bundesliga,AdaBoost_DTree,0.5040454529109282,0.4953257586653243
bundesliga,AdaBoost_LogReg,0.4954870725304757,0.4911548971666906
bundesliga,GradBoost,0.5606817936639218,0.4879907953401409
premier_league,LogReg,0.4855622280556654,0.4845390478929958
premier_league,LogReg_Scale,0.494444244668992,0.4904357831152021
premier_league,LogReg_Ext,0.494444244668992,0.4915863655975838
premier_league,RandForest,0.999928080837139,0.473896159930965
premier_league,RandForest_Scaler,0.999928080837139,0.4730332230691788
premier_league,SVM_Scaler,0.4950195979718796,0.4931684165108586
premier_league,SVM_Ext,0.4945521234132835,0.4920178340284769
premier_league,DTree_Scaler,0.4453234564349671,0.4464260031641018
premier_league,AdaBoost_DTree,0.5040454529109282,0.4953257586653243
premier_league,AdaBoost_LogReg,0.4954870725304757,0.4911548971666906
premier_league,GradBoost,0.5606817936639218,0.4882784409607363
serie_a,LogReg,0.4855622280556654,0.4845390478929958
serie_a,LogReg_Scale,0.494444244668992,0.4904357831152021
serie_a,LogReg_Ext,0.494444244668992,0.4915863655975838
serie_a,RandForest,0.999928080837139,0.4685747159499496
serie_a,RandForest_Scaler,0.999928080837139,0.4681432475190565
serie_a,SVM_Scaler,0.4950195979718796,0.4931684165108586
serie_a,SVM_Ext,0.4945521234132835,0.4920178340284769
serie_a,DTree_Scaler,0.4453234564349671,0.4464260031641018
serie_a,AdaBoost_DTree,0.5040454529109282,0.4953257586653243
serie_a,AdaBoost_LogReg,0.4954870725304757,0.4911548971666906
serie_a,GradBoost,0.5606817936639218,0.4881346181504387
2_liga,LogReg,0.4855622280556654,0.4845390478929958
2_liga,LogReg_Scale,0.494444244668992,0.4904357831152021
2_liga,LogReg_Ext,0.494444244668992,0.4915863655975838
2_liga,RandForest,0.999928080837139,0.4705882352941176
2_liga,RandForest_Scaler,0.999928080837139,0.4674241334675679
2_liga,SVM_Scaler,0.4950195979718796,0.4931684165108586
2_liga,SVM_Ext,0.4945521234132835,0.4920178340284769
2_liga,DTree_Scaler,0.4453234564349671,0.4464260031641018
2_liga,AdaBoost_DTree,0.5040454529109282,0.4953257586653243
2_liga,AdaBoost_LogReg,0.4954870725304757,0.4911548971666906
2_liga,GradBoost,0.5606817936639218,0.4879907953401409
segunda_liga,LogReg,0.4855622280556654,0.4845390478929958
segunda_liga,LogReg_Scale,0.494444244668992,0.4904357831152021
segunda_liga,LogReg_Ext,0.494444244668992,0.4915863655975838
segunda_liga,RandForest,0.999928080837139,0.4715949949662016
segunda_liga,RandForest_Scaler,0.999928080837139,0.4766287933266216
segunda_liga,SVM_Scaler,0.4950195979718796,0.4931684165108586
segunda_liga,SVM_Ext,0.4945521234132835,0.4920178340284769
segunda_liga,DTree_Scaler,0.4453234564349671,0.4464260031641018
segunda_liga,AdaBoost_DTree,0.5040454529109282,0.4953257586653243
segunda_liga,AdaBoost_LogReg,0.4954870725304757,0.4911548971666906
segunda_liga,GradBoost,0.5606817936639218,0.4881346181504387
serie_b,LogReg,0.4855622280556654,0.4845390478929958
serie_b,LogReg_Scale,0.494444244668992,0.4904357831152021
serie_b,LogReg_Ext,0.494444244668992,0.4915863655975838
serie_b,RandForest,0.999928080837139,0.4761973248957284
serie_b,RandForest_Scaler,0.999928080837139,0.4734646915000719
serie_b,SVM_Scaler,0.4950195979718796,0.4931684165108586
serie_b,SVM_Ext,0.4945521234132835,0.4920178340284769
serie_b,DTree_Scaler,0.4453234564349671,0.4464260031641018
serie_b,AdaBoost_DTree,0.5040454529109282,0.4953257586653243
serie_b,AdaBoost_LogReg,0.4954870725304757,0.4911548971666906
serie_b,GradBoost,0.5606817936639218,0.4882784409607363
championship,LogReg,0.4855622280556654,0.4845390478929958
championship,LogReg_Scale,0.494444244668992,0.4904357831152021
championship,LogReg_Ext,0.494444244668992,0.4915863655975838
championship,RandForest,0.999928080837139,0.4674241334675679
championship,RandForest_Scaler,0.999928080837139,0.4715949949662016
championship,SVM_Scaler,0.4950195979718796,0.4931684165108586
championship,SVM_Ext,0.4945521234132835,0.4920178340284769
championship,DTree_Scaler,0.4453234564349671,0.4464260031641018
championship,AdaBoost_DTree,0.5040454529109282,0.4953257586653243
championship,AdaBoost_LogReg,0.4954870725304757,0.4911548971666906
championship,GradBoost,0.5606817936639218,0.4879907953401409
